"serial_id","google_id","XDIndicator","XD95","XD00","XD05","XD10","XD15"
1,"--nVNvIAAAAJ","CS","CS","CS","CS","CS","CS"
2,"-0CQuX8AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
3,"-0iKXsgAAAAJ","CS","CS","CS","CS","CS","CS"
4,"-0nYQVIAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
5,"-0ppt6oAAAAJ","BIO","BIO","BIO","XD","XD","XD"
6,"-0rEuLgAAAAJ","CS","CS","CS","CS","CS","CS"
7,"-234SKAAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
8,"-31-oa0AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
9,"-5DNOLIAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
10,"-5LVcdsAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
11,"-5ZxgGsAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
12,"-6cOYcYAAAAJ","CS","CS","CS","CS","CS","CS"
13,"-6FYTfMAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
14,"-78feYUAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
15,"-aQaHIoAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
16,"-BLWw_kAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
17,"-chjN0MAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
18,"-cL-RwUAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
19,"-cwEbxUAAAAJ","CS","CS","CS","XD","XD","XD"
20,"-D2TBHUAAAAJ","BIO","BIO","BIO","XD","XD","XD"
21,"-DEyRIgAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
22,"-DfTtxgAAAAJ","CS","CS","CS","CS","XD","XD"
23,"-Dg42W8AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
24,"-E5k6m4AAAAJ","CS","CS","CS","CS","CS","CS"
25,"-ERiTHkAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
26,"-EXWOU0AAAAJ","CS","CS","CS","CS","CS","CS"
27,"-fxI3cUAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
28,"-GT5PAkAAAAJ","CS","CS","CS","CS","CS","CS"
29,"-H7Y-VUAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
30,"-had2Q8AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
31,"-HwCwkAAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
32,"-iLn_XwAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
33,"-IMW-w0AAAAJ","CS","CS","CS","CS","CS","XD"
34,"-Jbd9DsAAAAJ","CS","CS","CS","CS","CS","CS"
35,"-jW6ADwAAAAJ","CS","CS","CS","CS","CS","CS"
36,"-Jz7TjkAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
37,"-LPp6oUAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
38,"-LyegNoAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
39,"-m5wrTkAAAAJ","CS","CS","CS","CS","CS","CS"
40,"-MQXqOkAAAAJ","BIO","BIO","BIO","XD","XD","XD"
41,"-NkxFNoAAAAJ","CS","CS","CS","CS","CS","CS"
42,"-o3I0zUAAAAJ","BIO","BIO","BIO","XD","XD","XD"
43,"-OdJO1UAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
44,"-PWcE1YAAAAJ","CS","CS","CS","CS","CS","CS"
45,"-PWYRzIAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
46,"-pyztDMAAAAJ","CS","CS","CS","CS","CS","CS"
47,"-qFHOKsAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
48,"-QZrYjsAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
49,"-rcrelQAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
50,"-S8_yskAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
51,"-sGaL8sAAAAJ","CS","CS","CS","CS","CS","CS"
52,"-SM7MpYAAAAJ","CS","CS","CS","CS","CS","CS"
53,"-smZI6MAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
54,"-spRnaQAAAAJ","CS","CS","CS","CS","CS","CS"
55,"-teHhxwAAAAJ","BIO","BIO","XD","XD","XD","XD"
56,"-u5lh-0AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
57,"-UyfaYEAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
58,"-vC_l2kAAAAJ","CS","CS","CS","CS","CS","CS"
59,"-vrMfNMAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
60,"-wT1eCwAAAAJ","CS","CS","CS","CS","CS","CS"
61,"-XCc1JQAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
62,"-xOxPsUAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
63,"-XpZ4fgAAAAJ","CS","CS","CS","CS","CS","CS"
64,"-XXZGEoAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
65,"-yrzguMAAAAJ","CS","CS","CS","CS","XD","XD"
66,"-YvgZDEAAAAJ","CS","CS","CS","CS","CS","CS"
67,"-YZ5mIIAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
68,"-ZqZyP0AAAAJ","CS","CS","CS","CS","CS","CS"
69,"-_yz0eUAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
70,"0-hcsnoAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
71,"008lr2cAAAAJ","CS","CS","CS","CS","CS","CS"
72,"00H10pgAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
73,"00M1AqQAAAAJ","CS","CS","XD","XD","XD","XD"
74,"01EOkNEAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
75,"01U4ahgAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
76,"022gx2QAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
77,"02nHF0gAAAAJ","CS","CS","CS","CS","CS","CS"
78,"02_kT4YAAAAJ","CS","CS","CS","CS","CS","CS"
79,"03uVItYAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
80,"04pdXhgAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
81,"04TuVhEAAAAJ","CS","CS","CS","CS","CS","CS"
82,"05cijuQAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
83,"05UuCNQAAAAJ","BIO","XD","XD","XD","XD","XD"
84,"060zUaAAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
85,"06hgT8gAAAAJ","CS","CS","CS","CS","CS","XD"
86,"078_pfUAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
87,"07ds-DAAAAAJ","CS","CS","CS","CS","CS","CS"
88,"07Z4HAQAAAAJ","CS","CS","CS","CS","CS","CS"
89,"099CBXIAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
90,"0a2d8rQAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
91,"0ahvXiEAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
92,"0Bi5CMgAAAAJ","CS","CS","CS","CS","CS","CS"
93,"0CAVqY4AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
94,"0cq9zpQAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
95,"0cy3s0AAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
96,"0d3SpjQAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
97,"0dIBL4AAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
98,"0DpK1EMAAAAJ","CS","CS","CS","CS","CS","CS"
99,"0e8QmOMAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
100,"0ESwQagAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
101,"0fq5QeIAAAAJ","CS","XD","XD","XD","XD","XD"
102,"0fVKnEcAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
103,"0goLOJ4AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
104,"0gtvj54AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
105,"0IHc9DUAAAAJ","CS","CS","CS","CS","CS","CS"
106,"0iJRaawAAAAJ","CS","CS","CS","CS","CS","CS"
107,"0irVeiQAAAAJ","CS","CS","CS","CS","CS","CS"
108,"0IrZEuIAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
109,"0j1TcuMAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
110,"0JLkp6FGK_AC","BIO","BIO","BIO","BIO","BIO","BIO"
111,"0jSdqoEAAAAJ","CS","CS","CS","CS","CS","CS"
112,"0Kl8sf4AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
113,"0Kvq4bUAAAAJ","CS","CS","CS","CS","CS","CS"
114,"0lcJYs8AAAAJ","CS","CS","CS","CS","CS","CS"
115,"0LS98DEAAAAJ","CS","CS","CS","CS","CS","CS"
116,"0LYr5i8AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
117,"0nBysEcAAAAJ","CS","CS","CS","CS","CS","CS"
118,"0NdRYeoAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
119,"0OdjAAkAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
120,"0oj4N0sAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
121,"0pdiFKEAAAAJ","CS","CS","CS","CS","CS","CS"
122,"0pdOqkQAAAAJ","CS","CS","CS","CS","CS","CS"
123,"0qFMG6jnGtAC","BIO","BIO","BIO","BIO","BIO","XD"
124,"0Qr2IGwAAAAJ","CS","CS","CS","CS","CS","XD"
125,"0r5B_WMAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
126,"0R9w80MAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
127,"0RAmmIAAAAAJ","CS","CS","CS","CS","CS","CS"
128,"0RMteS0AAAAJ","CS","CS","CS","CS","CS","CS"
129,"0SHFWCkAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
130,"0skgDnMAAAAJ","CS","CS","CS","CS","CS","CS"
131,"0sU4eAwAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
132,"0tJWcp4AAAAJ","BIO","BIO","XD","XD","XD","XD"
133,"0U8U6t0AAAAJ","CS","CS","CS","CS","CS","XD"
134,"0udXcCEAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
135,"0uj4niwAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
136,"0VFi-vAAAAAJ","CS","CS","CS","CS","CS","CS"
137,"0vsEnW8AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
138,"0vWWXXUAAAAJ","CS","CS","CS","CS","XD","XD"
139,"0VzUxIcAAAAJ","CS","CS","CS","CS","CS","CS"
140,"0w0Dy34AAAAJ","CS","CS","CS","CS","CS","CS"
141,"0XV1sFsAAAAJ","CS","CS","CS","CS","CS","CS"
142,"0XwGb10AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
143,"0y6JDD4AAAAJ","CS","CS","CS","CS","CS","CS"
144,"0YlwI5MAAAAJ","CS","CS","CS","CS","XD","XD"
145,"0zrqo3B-66wC","CS","CS","CS","CS","CS","CS"
146,"0zVOVQ0AAAAJ","CS","CS","CS","CS","CS","XD"
147,"0zZnyMEAAAAJ","CS","CS","CS","CS","CS","CS"
148,"0_vvBZkAAAAJ","CS","CS","CS","CS","CS","CS"
149,"10HSX90AAAAJ","CS","CS","CS","CS","CS","CS"
150,"117h3CAAAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
151,"11imIQsAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
152,"11NcM2EAAAAJ","CS","CS","CS","CS","CS","CS"
153,"11RguYAAAAAJ","BIO","BIO","BIO","BIO","XD","XD"
154,"14K6V00AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
155,"15XbAJIAAAAJ","CS","CS","CS","CS","CS","CS"
156,"16posrQAAAAJ","CS","CS","CS","CS","CS","CS"
157,"17FnXRkAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
158,"17H27fYAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
159,"19kNRU0AAAAJ","CS","CS","CS","CS","CS","CS"
160,"19KQ9w8AAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
161,"19qSWk8AAAAJ","CS","CS","CS","CS","CS","CS"
162,"1a17o2YAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
163,"1A9MXTkAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
164,"1Aa3qxIAAAAJ","CS","CS","CS","CS","XD","XD"
165,"1AHBOEcAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
166,"1aoOTPIAAAAJ","CS","CS","CS","CS","CS","CS"
167,"1BZVKNkAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
168,"1cn60e8AAAAJ","BIO","BIO","BIO","BIO","BIO","XD"
169,"1CR0meYAAAAJ","CS","CS","CS","XD","XD","XD"
170,"1CtZnTMAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
171,"1ddBSr8AAAAJ","CS","CS","CS","CS","CS","CS"
172,"1DpUSnsAAAAJ","BIO","BIO","BIO","BIO","BIO","BIO"
